2022 San Francisco Chronicle Wine Competition Medal Winners Sorted by Winery,,,,,,,,
Winery,State,Category Name,Vintage,AVA,Vineyard,Variety,Price,Award
Just Enough Wines,CA,Brut,2020,Central Coast,Brut,,$7.00 ,Bronze
Just Enough Wines,CA,Chardonnay - Up to - $10.99,2020,Edna Valley,Chardonnay,,$7.50 ,Bronze
Justin Vineyards and Winery,CA,Cab Sauv - $26.00 - $29.99,2019,Paso Robles,Cabernet Sauvignon,,$28.00 ,Gold
Justin Vineyards and Winery,CA,Red Blend: Cab Sauv leading blend - $56.00 and Over,2018,Paso Robles,ISOSCELES,,$76.00 ,Gold
Justin Vineyards and Winery,CA,Red Blend: Cabernet Franc leading blend,2018,Paso Robles,JUSTIFICATION,,$60.00 ,Silver
Kagan Cellars,TX,Cab Sauv - $72.00 - $89.99,2016,Atlas Peak,Cabernet Sauvignon,Stagecoach Vineyard,$80.00 ,Gold
Kagan Cellars,TX,Chardonnay - $40.00 - $45.99,2017,Sta. Rita Hills,Chardonnay,Courtneys Vineyard,$45.00 ,Gold
Kagan Cellars,TX,Dry Rose/Blush Blend - RS 0,2020,Napa,Rose Wine,,$25.00 ,Gold
Kagan Cellars,TX,Cab Sauv - $90.00 and Over,2018,Rutherford,Cabernet Sauvignon,K3,$120.00 ,Silver
Kagan Cellars,TX,Sangiovese - $35.00 and Over,2016,Dry Creek Valley,Sangiovese,Dry Creek Bench Vineyard,$35.00 ,Silver
Kalyana,CA,Pinot Noir - Up to - $14.99,2019,Central Coast,Pinot Noir,,$14.99 ,Double Gold
Kalyana,CA,Chardonnay - $11.00 - $13.99,2020,Central Coast,Chardonnay,,$12.99 ,Gold
Kalyana,CA,Cab Sauv - $13.00 - $15.99,2019,Central Coast,Cabernet Sauvignon,,$14.99 ,Silver
KAPA,CT,Cab Sauv - $16.00 - $18.99,2020,Lodi,Cabernet Sauvignon,,$18.90 ,Silver
Kara Marie,CA,Dry Rose/Blush - RS 0,2021,Dry Creek Valley,The Ra Ra Rose,,$26.00 ,Double Gold
Kara Marie,CA,Riesling - Dry <.99 RS,2021,Sonoma Mountain,Riesling,The Ra Ra,$26.00 ,Gold
Karamoor Estate,PA,Chardonnay - $26.00 - $28.99,2018,Pennsylvania,Chardonnay,,$26.00 ,Silver
Karamoor Estate,PA,Pinot Gris/Grigio - $20.00 and Over,2019,Pennsylvania,Pinot Gris,,$24.00 ,Silver
Karamoor Estate,PA,Sauvignon Blanc/Fume - $20.00 - $ 25.99,2019,Pennsylvania,Sauvignon Blanc,,$24.00 ,Silver
Karamoor Estate,PA,Petit Verdot - $40.00 and Over,2018,Pennsylvania,Petit Verdot,,$48.00 ,Bronze
Karl Lawrence Cellars,CA,Cab Sauv - $72.00 - $89.99,2019,Napa Valley,Cabernet Sauvignon,Pocai Vineyard,$75.00 ,Silver
Karma Vista Vineyards,MI,Pinot Noir - $28.00 - $31.99,2017,Lake Michigan Shore,Pinot Noir,NOIRVAVA,$28.00 ,Silver
Karma Vista Vineyards,MI,Syrah/Shiraz - Up to - $26.99,2017,Lake Michigan Shore,Syrah,Reserve,$24.00 ,Bronze
Kathryn Kennedy Winery,CA,Cab Sauv - $42.00 - $45.99,2019,Santa Cruz Mountains,Cabernet Sauvignon,Small Lot Cabernet,$45.00 ,Silver
Kautz & Kramer,CA,Cab Franc - Up to - $29.99,2018,Lodi,Cabernet Franc,Sheldon Ranch; Block 72,$28.00 ,Silver
Kaya Vineyards & Winery,GA,Viognier - $27.00 and Over,2020,Dahlonega Plateau,Viognier,,$38.00 ,Silver
Kaya Vineyards & Winery,GA,White Blends - $28.00 and Over,NV,Dahlonega Plateau,Grace,,$31.00 ,Silver
Kaya Vineyards & Winery,GA,Chardonnay - $33.00 - $35.99,2020,Dahlonega Plateau,Chardonnay,,$33.00 ,Bronze
Kayden,CA,Brut,NV,California,Brut,,$8.99 ,Silver
Keanu Wines,CA,Chardonnay - $29.00 - $32.99,2019,Los Carneros (Sonoma),Chardonnay,,$30.00 ,Silver
Keanu Wines,CA,Red Blend: Merlot leading blend - $30.00 and Over,2018,California,Philippe's Cuvee,,$45.00 ,Silver
Kelsey See Canyon Vineyards,CA,Tempranillo - $35 and Over,2018,San Luis Obispo County,Tempranillo,Refugio Vineyards,$54.00 ,Double Gold
Kelsey See Canyon Vineyards,CA,Specialty or All Other Cider,NV,Washington,Cider Kissed With Pineapple,,$10.00 ,Gold
Kelsey See Canyon Vineyards,CA,Viognier - $27.00 and Over,2020,Paso Robles,Viognier,Platinum,$29.00 ,Gold
Kelsey See Canyon Vineyards,CA,Chardonnay - $40.00 - $45.99,2020,Paso Robles,Chardonnay,Derbyshire Vineyards,$45.00 ,Silver
Kelsey See Canyon Vineyards,CA,Merlot - $40.00 and Over,2018,Paso Robles,Merlot,Nevarez Vineyards,$54.00 ,Silver
Kelsey See Canyon Vineyards,CA,Red Blend: Cab Sauv leading blend - $45.00 - $55.99,2018,Paso Robles,Mirepoix,,$54.00 ,Silver
Kelsey See Canyon Vineyards,CA,Red Blend: Cabernet Franc leading blend,2020,Paso Robles,Secret Spot,,$28.00 ,Silver
Kelsey See Canyon Vineyards,CA,Sauvignon Blanc/Fume - $26.00 and Over,2020,Paso Robles,Sauvignon Blanc,,$28.00 ,Silver
Kelsey See Canyon Vineyards,CA,Specialty or All Other Cider,NV,Washington,Rose Cider,,$10.00 ,Silver
Kelsey See Canyon Vineyards,CA,Cab Franc - $40.00 and Over,2018,Paso Robles,Cabernet Franc,Nevarez Vineyards,$54.00 ,Bronze
Kelsey See Canyon Vineyards,CA,Syrah/Shiraz - $44.00 and Over,2019,Paso Robles,Syrah,Eden House Vineyards,$54.00 ,Bronze
Kelsey See Canyon Vineyards,CA,Wood Aged Cider,NV,California,The Diver,,$35.00 ,Bronze
Kerrville Hills Winery,TX,Tannat,2019,Texas Hill Country,Tannat,Rustic Spur Vineyards,$50.00 ,Gold
Kerrville Hills Winery,TX,Muscat,2020,Texas High Plains,Orange Muscat,Newsom Vineyards - Sunkissed,$26.00 ,Silver
Kerrville Hills Winery,TX,Petite Sirah - $40.00 - $45.99,2019,Texas High Plains,Petite Sirah,Newsom Vineyards,$40.00 ,Silver
Ketcham Estate,CA,Pinot Noir - $67.00 and Over,2018,Russian River Valley,Pinot Noir,Allie's Reserve,$85.00 ,Double Gold
Ketcham Estate,CA,Cab Sauv - $90.00 and Over,2018,Russian River Valley,Cabernet Sauvignon,CabReserve,$95.00 ,Silver
Ketcham Estate,CA,Pinot Noir - $44.00 - $47.99,2018,Russian River Valley,Pinot Noir,5 Clone,$45.00 ,Silver
Ketcham Estate,CA,Pinot Noir - $51.00 - $57.99,2018,Russian River Valley,Pinot Noir,Ketcham Vineyard,$55.00 ,Silver
Keuka Spring Vineyards,NY,Riesling - Sweet - >4.1 RS (not late Harvest Dessert),2020,Finger Lakes,Riesling,Wiltberger Vineyard,$21.99 ,Best of Class
Keuka Spring Vineyards,NY,Cab Franc - Up to - $29.99,2020,Finger Lakes,Cabernet Franc,,$19.99 ,Gold
Keuka Spring Vineyards,NY,Riesling - Sweet - >4.1 RS (not late Harvest Dessert),2020,Finger Lakes,Semi-Sweet Riesling,,$16.99 ,Gold
Keuka Spring Vineyards,NY,All Other Red Varietals,2020,Finger Lakes,Blaufrankisch,,$20.99 ,Silver
Keuka Spring Vineyards,NY,White Blends - Up to - $21.99,NV,Finger Lakes,Crooked Lake White,,$14.99 ,Silver
Keuka Spring Vineyards,NY,All Other Red Varietals,2020,Finger Lakes,Saperavi,,$22.99 ,Bronze
Keuka Spring Vineyards,NY,Riesling - Dry <.99 RS,2020,Finger Lakes,Riesling,Humphreys Vineyard,$22.99 ,Bronze
Kevin Herman,CA,Aglianico,2019,Madera,Aglianico,Valley Ghost,$10.99 ,Silver
Kevin O'Leary,CA,Dry/Sweet Rose/Blush - RS 1.00 and Over,2021,California,Rose,,$24.99 ,Silver
Kevin O'Leary,CA,Muscat,2021,California,Moscato,,$24.99 ,Silver
Kevin O'Leary,CA,Pinot Gris/Grigio - $20.00 and Over,2020,California,Pinot Grigio,,$24.99 ,Silver
Kevin O'Leary,CA,Red Blend: Cab Sauv leading blend - Up to - $24.99,NV,Walla Walla Valley,Meritage,,$24.99 ,Silver
Kevin O'Leary,CA,Cab Sauv - $23.00 - $25.99,2020,California,Cabernet Sauvignon,,$24.99 ,Bronze
Kevin O'Leary,CA,Chardonnay - $23.00 - $25.99,2020,California,Chardonnay,,$24.99 ,Bronze
Kiara Private Reserve,CA,Cab Sauv - $19.00 - $22.99,2018,Paso Robles,Cabernet Sauvignon,,$19.00 ,Silver
King Estate,OR,Packaging: Minimal,2017,Willamette Valley,7 Rows Pinot Noir,,$120.00 ,Best of Class
King Estate,OR,Brut,2017,Willamette Valley,Brut Cuvee,Estate Grown,$40.00 ,Double Gold
King Estate,OR,Dry Rose/Blush - RS .3 - .99,2020,Willamette Valley,Rose of Pinot Noir,,$20.00 ,Double Gold
King Estate,OR,Pinot Noir - $28.00 - $31.99,2019,Willamette Valley,Pinot Noir,,$29.00 ,Double Gold
King Estate,OR,Sauvignon Blanc/Fume - $16.00 - $19.99,2020,Oregon,Sauvignon Blanc,,$19.00 ,Gold
King Estate,OR,Packaging: Minimal,2017,Willamette Valley,Brut Cuvee,,$40.00 ,Silver
King Estate,OR,Packaging: Surface Designs,2018,Columbia Valley,Weinbau Cabernet Franc,,$52.00 ,Silver
King Estate,OR,Chardonnay - $20.00 - $22.99,2020,Willamette Valley,Chardonnay,,$21.00 ,Bronze
King James,OR,Packaging: Ornate,2019,Willamette Valley,Pinot Noir,,$52.00 ,Best of Class
Kinneybrook,CA,Chardonnay - $23.00 - $25.99,2018,Sonoma County,Chardonnay,,$24.99 ,Double Gold
Kissed By An Angel Wines,CA,Cab Franc - $30.00 - $39.99,2019,Amador County,Cabernet Franc,,$32.00 ,Gold
Kite Hill Vineyards,IL,White Blends - Up to - $21.99,2020,Shawnee Hills,Broadwing,,$19.00 ,Gold
Kite Hill Vineyards,IL,Port - Up to - $32.99,2012,Shawnee Hills,Mani,,$24.00 ,Silver
Kite Hill Vineyards,IL,Red Blend: Red Native/Hybrid,2018,Shawnee Hills,The Aeronaut,,$19.00 ,Silver
Klinker Brick Winery,CA,Albarino,2021,Mokelumne River,Albarino,,$17.00 ,Double Gold
Klinker Brick Winery,CA,Carignan/Carignane,2018,Lodi,Carignane,,$28.00 ,Double Gold
Klinker Brick Winery,CA,Syrah/Shiraz - Up to - $26.99,2019,Lodi,Syrah,Farrah,$22.00 ,Double Gold
Klinker Brick Winery,CA,Zinfandel - $26.00 - $28.99,2018,Lodi,Zinfandel,Marisa Vineyard,$28.00 ,Double Gold
Klinker Brick Winery,CA,Petite Sirah - $28.00 - $34.99,2018,Lodi,Petite Sirah,,$28.00 ,Gold
Klinker Brick Winery,CA,Zinfandel - $39.00 - $41.99,2018,Lodi,Zinfandel,Old Ghost,$40.00 ,Gold
Klinker Brick Winery,CA,Dolcetto,2018,Lodi,Dolcetto,,$28.00 ,Silver
Klinker Brick Winery,CA,Dry Rose/Blush - RS .001 - .099,2021,Mokelumne River,Bricks and Roses Rose,,$17.00 ,Silver
Klinker Brick Winery,CA,Grenache Blanc,2021,Lodi,Grenache Blanc,,$20.00 ,Silver
Klinker Brick Winery,CA,Red Blend: Cab Sauv leading blend - $25.00 - $34.99,2018,Lodi,1850 Red Blend,,$28.00 ,Silver
Klinker Brick Winery,CA,Zinfandel - $17.00 - $22.99,2018,Lodi,Zinfandel,,$22.00 ,Silver
Klinker Brick Winery,CA,Cab Sauv - $19.00 - $22.99,2018,Lodi,Cabernet Sauvignon,,$22.00 ,Bronze
Klinker Brick Winery,CA,Red Blend: Zinfandel leading blend - Up to - $24.99,2018,Lodi,Brickmason Red Blend,,$17.00 ,Bronze
Knoll Haven,CA,Chardonnay - $11.00 - $13.99,2020,Columbia Valley,Chardonnay,,$13.99 ,Gold
Knotty Vines,CA,Cab Sauv - $13.00 - $15.99,2019,California,Cabernet Sauvignon,,$15.00 ,Gold
Knotty Vines,CA,Chardonnay - $14.00 - $15.99,2020,California,Chardonnay,,$15.00 ,Gold
Knotty Vines,CA,Pinot Noir - $15.00 - $19.99,2019,California,Pinot Noir,,$15.00 ,Gold
Knotty Vines,CA,Red Blend: Merlot leading blend - Up to - $29.99,2019,California,Red Blend,,$15.00 ,Silver
Knudsen Vineyards,OR,Chardonnay - $40.00 - $45.99,2019,Willamette Valley,Chardonnay,Family Series,$45.00 ,Silver
Knudsen Vineyards,OR,Pinot Noir - $51.00 - $57.99,2018,Dundee Hills,Pinot Noir,Estate,$55.00 ,Silver
Knuttel Family,CA,Cab Sauv - $23.00 - $25.99,2018,Dry Creek Valley,Cabernet Sauvignon,Sebastians Infinite Limits,$24.00 ,Double Gold
Knuttel Family,CA,Chardonnay - $20.00 - $22.99,2020,Russian River Valley,Chardonnay,Kates Pas De Deux,$20.00 ,Silver
Knuttel Family,CA,Pinot Noir - $20.00 - $23.99,2019,Sonoma Coast,Pinot Noir,Bills Hidden Track,$22.00 ,Silver
Kobler Estate Winery,CA,Pinot Noir- $58.00 - $66.99,2018,Russian River Valley,Pinot Noir,Bacigalupi Vineyards,$58.00 ,Double Gold
Kobler Estate Winery,CA,Chardonnay - $46.00 and Over,2020,Russian River Valley,Chardonnay,Bacigalupi Vineyards,$54.00 ,Gold
Kobler Estate Winery,CA,Syrah/Shiraz - $44.00 and Over,2018,Russian River Valley,Syrah,Kobler Family Vineyards,$64.00 ,Gold
Kobler Estate Winery,CA,Gewurztraminer - $20.00 and Over,2020,Russian River Valley,Gewurztraminer,,$40.00 ,Silver
Kobler Estate Winery,CA,Dry Rose/Blush - RS 0,2020,Russian River Valley,Rose,Kobler Family Vineyards,$28.00 ,Bronze
Koi Zen Cellars,CA,Cab Sauv - $39.00 - $41.99,2018,Paso Robles,Cabernet Sauvignon,,$39.00 ,Silver
Koi Zen Cellars,CA,Merlot - $31.00 - $39.99,2018,Paso Robles,Merlot,,$36.00 ,Silver
Koi Zen Cellars,CA,Mourvedre,2018,Paso Robles,Mourvedre,,$39.00 ,Silver
Komodo Dragon Cellars,CA,Red Blend: Merlot leading blend - Up to - $29.99,2018,Columbia Valley,Red Blend,,$18.99 ,Gold
Kontokosta Winery,NY,Sauvignon Blanc/Fume - $26.00 and Over,2020,North Fork of Long Island,Sauvignon Blanc,,$29.00 ,Double Gold
Kontokosta Winery,NY,Cab Franc - $30.00 - $39.99,2017,North Fork of Long Island,Cabernet Franc,Reserve,$39.00 ,Silver
Kontokosta Winery,NY,Chardonnay - $20.00 - $22.99,2020,North Fork of Long Island,Chardonnay,,$22.00 ,Silver
Kontokosta Winery,NY,Red Blend: Cabernet Franc leading blend,2017,North Fork of Long Island,Anemometer Red Blend,,$50.00 ,Silver
Kontokosta Winery,NY,White Blends - $28.00 and Over,2019,North Fork of Long Island,Anemometer White Blend,,$35.00 ,Silver
Kontokosta Winery,NY,Cab Sauv - $30.00 - $34.99,2017,North Fork of Long Island,Cabernet Sauvignon,,$34.00 ,Bronze
Korbel,CA,Blanc de Noirs,NV,California,Blanc de Noirs,,$13.00 ,Double Gold
Korbel,CA,Other Sparkling,NV,California,Extra Dry,,$13.00 ,Gold
Korbel,CA,Rose Sparkling,NV,California,Brut Rose,,$13.00 ,Gold
Korbel,CA,Brut,2018,Russian River Valley,Brut,Natural,$16.00 ,Silver
Korbel,CA,Brut,NV,California,Brut,,$13.00 ,Silver
Korbel,CA,Brut,2019,California,Brut,Organically Grown Grapes,$16.00 ,Silver
Kramer Estate Wine,CA,Malbec - $37.00 and Over,2018,Paso Robles Estrella District,Malbec,,$39.00 ,Silver
Kramer Estate Wine,CA,Red Blend: Merlot leading blend - $30.00 and Over,2018,Paso Robles,Merlot-Verdot,Reserve,$48.00 ,Silver
Kramer Estate Wine,CA,Red Blend: Malbec leading blend,2018,Paso Robles,Big Red,,$54.00 ,Bronze
Kramer Estate Wine,CA,Red Blend: Petit Verdot leading blend,2018,Paso Robles,Petite-Cab,,$42.00 ,Bronze
Kukeri Wines,CA,Sauvignon Blanc/Fume - $26.00 and Over,2021,Russian River Valley,Sauvignon Blanc,,$30.00 ,Double Gold
Kukeri Wines,CA,Cab Sauv - $90.00 and Over,2018,Mt Veeder,Cabernet Sauvignon,Hillwalker Vineyards,$105.00 ,Gold
Kukeri Wines,CA,Cab Sauv - $72.00 - $89.99,2019,Howell Mountain,Cabernet Sauvignon,,$89.00 ,Silver
Kukeri Wines,CA,Dry Rose/Blush - RS .001 - .099,2021,Sonoma Coast,Rose Nouveau of Pinot Noir,,$28.00 ,Silver
L.A. Cetto,BA,Chenin Blanc,2020,Baja California,Chenin Blanc,,$12.99 ,Best of Class
L.A. Cetto,BA,Nebbiolo,2017,Baja California,Nebbiolo,Reserve Privee,$22.99 ,Gold
L.A. Cetto,BA,Petite Sirah - Up to - $27.99,2017,Baja California,Petite Sirah,Reserva Privada,$12.99 ,Gold
L.A. Cetto,BA,Petite Sirah - Up to - $27.99,2019,Baja California,Petite Sirah,,$12.99 ,Silver
L.A. Cetto,BA,Sauvignon Blanc/Fume - Up to - $15.99,2020,Baja California,Sauvignon Blanc,,$12.99 ,Silver
L.A. Cetto,BA,Viognier - Up to - $26.99,2020,Baja California,Viognier,Don Luis,$22.99 ,Silver
L.A. Cetto,BA,Cab Sauv - $13.00 - $15.99,2019,Baja California,Cabernet Sauvignon,,$14.99 ,Bronze
L.A. Cetto,BA,Chardonnay - $11.00 - $13.99,2020,Baja California,Chardonnay,,$12.99 ,Bronze
La Chertosa Old World Wines,CA,Sangiovese - $35.00 and Over,2019,Sonoma Valley,Sangiovese,Don Silvio Reserve,$35.00 ,Gold
La Chertosa Old World Wines,CA,Zinfandel - $35.00 - $38.99,2018,Sonoma Valley,Zinfandel,Fra Paolo Reserve,$35.00 ,Gold
La Chertosa Old World Wines,CA,Chardonnay - $23.00 - $25.99,2019,Sonoma Valley,Chardonnay,,$25.00 ,Silver
La Chertosa Old World Wines,CA,Dry Rose/Blush - RS .001 - .099,2020,Sonoma Valley,Eye of the Swan,,$19.00 ,Silver
LA PRENDA,CA,Pinot Gris/Grigio - $15.00 - $19.99,2019,Napa Valley,Pinot Grigio,,$16.00 ,Gold
LA PRENDA,CA,Cab Sauv - $30.00 - $34.99,2019,Napa Valley,Cabernet Sauvignon,,$32.00 ,Silver
LA PRENDA,CA,Chardonnay - $26.00 - $28.99,2020,Sonoma Valley,Chardonnay,,$28.00 ,Silver
LA PRENDA,CA,Dry Rose/Blush - RS .001 - .099,2021,Sonoma Coast,Rose,,$20.00 ,Silver
LA PRENDA,CA,Merlot - $27.00 - $30.99,2019,Sonoma Mountain,Merlot,,$28.00 ,Silver
LA PRENDA,CA,Red Blend: Merlot leading blend - $30.00 and Over,2018,Sonoma Valley,Headstone,,$34.00 ,Silver
LA PRENDA,CA,Malbec - Up to - $36.99,2016,Sonoma Coast,Malbec,,$32.00 ,Bronze
LA PRENDA,CA,Pinot Noir - $32.00 - $35.99,2020,Carneros,Pinot Noir,Thornton Ranch,$32.00 ,Bronze
La Storia,CA,Petite Sirah - $28.00 - $34.99,2019,Alexander Valley,Petite Sirah,La Storia,$28.00 ,Gold
La Storia,CA,Cab Sauv - $30.00 - $34.99,2019,Sonoma County,Cabernet Sauvignon,,$30.00 ,Silver
La Storia,CA,Chardonnay - $26.00 - $28.99,2020,Russian River Valley,Chardonnay,,$28.00 ,Silver
La Storia,CA,Merlot - $23.00 - $26.99,2019,Alexander Valley,Merlot,,$26.00 ,Silver
La Storia,CA,Red Blend: Sangiovese leading blend,2019,Alexander Valley,Cuvee 32,,$28.00 ,Silver
La Storia,CA,Zinfandel - $26.00 - $28.99,2020,Alexander Valley,Zinfandel,Block 303,$26.00 ,Silver
La Vie Dansante Wines,CA,Syrah/Shiraz - $31.00 - $34.99,2016,Santa Clara Valley,Syrah,,$34.00 ,Silver
La Vie Dansante Wines,CA,White Blends - $28.00 and Over,2018,Santa Clara Valley,Aubade,,$32.00 ,Silver
La Vie Dansante Wines,CA,Grenache - Up to - $34.99,2017,Santa Clara Valley,Grenache,,$34.00 ,Bronze
Lacewing Cellars,WA,Chardonnay - $20.00 - $22.99,2020,Columbia Valley,Chardonnay,,$22.00 ,Silver
Lacewing Cellars,WA,Chardonnay - $26.00 - $28.99,2019,Walla Walla County,Chardonnay,,$28.00 ,Silver
Lacewing Cellars,WA,Syrah/Shiraz - $35.00 - $39.99,2019,Walla Walla Valley,Syrah,,$38.00 ,Silver
Lacewing Cellars,WA,Malbec - Up to - $36.99,2019,Walla Walla Valley,Malbec,,$32.00 ,Bronze
Ladera,CA,Pinot Noir- $58.00 - $66.99,2019,Russian River Valley,Pinot Noir,Pillow Road Vineyard,$66.00 ,Double Gold
Ladera,CA,Chardonnay - $46.00 and Over,2019,Russian River Valley,Chardonnay,Pillow Road Vineyard,$55.00 ,Gold
Ladera,CA,Cab Sauv - $72.00 - $89.99,2017,Napa Valley,Cabernet Sauvignon,,$85.00 ,Silver
Lady Hill,OR,Cab Sauv - $35.00 - $38.99,2018,Columbia Valley,Cabernet Sauvignon,,$38.00 ,Gold
Lady Hill,OR,Chardonnay - $26.00 - $28.99,2020,Columbia Gorge,Chardonnay,McDuffee Vineyard,$28.00 ,Gold
Laetitia,CA,Pinot Noir - $24.00 - $27.99,2020,Paso Robles,Pinot Noir,,$27.00 ,Gold
Laetitia Winery,CA,Brut,NV,Arroyo Grande Valley,Brut Cuvee,Recoltant Manipulant,$24.99 ,Silver
Lagana Cellars,WA,Cab Franc - $30.00 - $39.99,2018,Walla Walla Valley,Cabernet Franc,Eritage Vineyard,$38.00 ,Silver
Lagana Cellars,WA,Syrah/Shiraz - $31.00 - $34.99,2017,Walla Walla Valley,Syrah,,$32.00 ,Bronze
Lagana Cellars,WA,Syrah/Shiraz - $35.00 - $39.99,2018,Walla Walla Valley,Syrah,Nox Eternelle Minnick Hills Vineyard,$35.00 ,Bronze
Lake Sonoma Winery,IT,Malbec - $37.00 and Over,2019,Sonoma Valley,Malbec,Lazy Dog Vineyard,$65.00 ,Gold
Lake Sonoma Winery,IT,Barbera - $35.00 and Over,2019,Sonoma Valley,Barbera,,$60.00 ,Silver
Lake Sonoma Winery,IT,Cab Sauv - $60.00 - $64.99,2019,Sonoma Valley,Cabernet Sauvignon,Lazy Dog Vineyard,$60.00 ,Silver
Lake Sonoma Winery,IT,Chardonnay - $26.00 - $28.99,2019,Russian River Valley,Chardonnay,,$27.00 ,Bronze
Lake Sonoma Winery,IT,Pinot Noir - $36.00 - $39.99,2020,Sonoma Coast,Pinot Noir,,$38.00 ,Bronze
Lake Sonoma Winery,IT,Sauvignon Blanc/Fume - $26.00 and Over,2020,Sonoma Valley,Sauvignon Blanc,,$28.00 ,Bronze
Lali,VA,Non Alcoholic Wines,NV,California,Red,,$7.50 ,Silver
Lali,VA,Non Alcoholic Wines,NV,California,Rose,,$7.50 ,Bronze
Lali,VA,Non Alcoholic Wines,NV,California,White,,$7.50 ,Bronze
Lancaster Estate,CA,Cab Sauv - $90.00 and Over,2019,Alexander Valley,Cabernet Sauvignon,Estate Winemakers Cuvee,$100.00 ,Silver
Landmark Vineyards: Red Sweepstakes Winner,CA,Pinot Noir- $58.00 - $66.99,2018,Sta. Rita Hills,Pinot Noir,La Encantada,$60.00 ,Red Sweepstakes
Landmark Vineyards,CA,Chardonnay - $40.00 - $45.99,2018,Sonoma Coast,Chardonnay,Rodgers Creek,$45.00 ,Gold
Landmark Vineyards,CA,Chardonnay - $46.00 and Over,2018,Russian River,Chardonnay,Lorenzo,$55.00 ,Gold
Landmark Vineyards,CA,Pinot Noir - $32.00 - $35.99,2018,Sonoma Coast,Pinot Noir,Grand Detour,$35.00 ,Gold
LangeTwins Family Winery and Vineyards,CA,Chenin Blanc,2020,Clarksburg,Chenin Blanc,Prince Vineyard,$22.00 ,Double Gold
LangeTwins Family Winery and Vineyards,CA,Aglianico,2018,Jahant,Aglianico,River Ranch Vineyard,$32.00 ,Silver
LangeTwins Family Winery and Vineyards,CA,Zinfandel - $60.00 and Over,2017,Lodi,Zinfandel,Lodi Rules Certified Sustainable; vegan and vegetarian,$60.00 ,Silver
LangeTwins Family Winery and Vineyards,CA,Cab Franc - $30.00 - $39.99,2018,Clarksburg,Cabernet Franc,,$32.00 ,Bronze
Langhart & Hill,CA,Chardonnay - $29.00 - $32.99,2020,Russian River Valley,Chardonnay,,$30.00 ,Gold
Langhart & Hill,CA,Pinot Noir - $40.00 - $43.99,2019,Russian River Valley,Pinot Noir,Adam & Eve Redwoods Vineyard,$42.00 ,Silver
Langtry,CA,Marsanne,2018,Guenoc Valley,Marsanne,Night,$42.00 ,Best of Class
Langtry,CA,Chardonnay - $40.00 - $45.99,2018,Guenoc Valley,Chardonnay,Genevieve,$42.00 ,Gold
Langtry,CA,White Blends - $28.00 and Over,2018,Guenoc Valley,Lillie's Blend White Wine,,$42.00 ,Gold
Langtry,CA,Petite Sirah - $40.00 - $45.99,2017,Guenoc Valley,Petite Sirah,Double Barrel,$40.00 ,Silver
Langtry,CA,Petite Sirah - $46.00 and Over,2017,Guenoc Valley,Petite Sirah,Serpentine Meadow,$48.00 ,Silver
Langtry,CA,Red Blend: Cab Sauv leading blend - $45.00 - $55.99,2017,Guenoc Valley,Old Solider Road,Tephra Ridge Vineyard,$48.00 ,Silver
Lanza Family,CA,Barbera - Up to - $34.99,2019,Suisun Valley,Barbera,,$30.00 ,Gold
Lanza Family,CA,Cab Sauv - $46.00 - $49.99,2018,Suisun Valley,Cabernet Sauvignon,,$48.00 ,Silver
Larson Family Winery,CA,Pinot Noir - $48.00 - $50.99,2019,Los Carneros,Pinot Noir,,$50.00 ,Gold
Larson Family Winery,CA,Cab Sauv - $72.00 - $89.99,2016,Sonoma Valley,Cabernet Sauvignon,,$80.00 ,Silver
Larson Family Winery,CA,Malbec - $37.00 and Over,2018,Sonoma Valley,Malbec,,$50.00 ,Silver
Las Positas Vineyards,CA,Barbera - $35.00 and Over,2019,Livermore Valley,Barbera,Reserve,$55.00 ,Best of Class
Las Positas Vineyards,CA,Syrah/Shiraz - $44.00 and Over,2019,Livermore Valley,Syrah,,$55.00 ,Best of Class
Las Positas Vineyards,CA,Verdelho,2021,Livermore Valley,Verdelho,,$38.00 ,Best of Class
Las Positas Vineyards,CA,Grenache - $35.00 and Over,2018,Livermore Valley,Garnacha,,$55.00 ,Double Gold
Las Positas Vineyards,CA,Grenache - $35.00 and Over,2019,Livermore Valley,Garnacha,,$58.00 ,Double Gold
Las Positas Vineyards,CA,Albarino,2020,Livermore Valley,Albarino,,$35.00 ,Gold
Las Positas Vineyards,CA,Barbera - $35.00 and Over,2017,Livermore Valley,Barbera,Reserve,$55.00 ,Gold
Las Positas Vineyards,CA,Barbera - $35.00 and Over,2017,Livermore Valley,Barbera,,$38.00 ,Gold
Las Positas Vineyards,CA,Cab Franc - $40.00 and Over,2019,Livermore Valley,Cabernet Franc,,$55.00 ,Gold
Las Positas Vineyards,CA,Cab Sauv - $72.00 - $89.99,2018,Livermore Valley,Cabernet Sauvignon,Reserve,$75.00 ,Gold
Las Positas Vineyards,CA,Red Blend: Carignane; Graziano or Tannat leading blend,2017,Livermore Valley,Coccineous,,$48.00 ,Gold
Las Positas Vineyards,CA,Red Blend: Carignane; Graziano or Tannat leading blend,2019,Livermore Valley,Coccineous,,$52.00 ,Gold
Las Positas Vineyards,CA,Sangiovese - $35.00 and Over,2019,Livermore Valley,Sangiovese,,$52.00 ,Gold
Las Positas Vineyards,CA,Tempranillo - $35 and Over,2019,Livermore Valley,Tempranillo,,$52.00 ,Gold
Las Positas Vineyards,CA,Albarino,2021,Livermore Valley,Albarino,,$35.00 ,Silver
