2022 San Francisco Chronicle Wine Competition Medal Winners Sorted by Winery,,,,,,,,
Winery,State,Category Name,Vintage,AVA,Vineyard,Variety,Price,Award
Abstract Sensualism Vineyards,CA,Cab Sauv - $65.00 - $71.99,2019,Mokelumne River,Cabernet Sauvignon,Single vineyard,$67.00 ,Gold
Abstract Sensualism Vineyards,CA,Dry Rose/Blush - RS .001 - .099,2020,Mokelumne River,Rose,,$33.00 ,Gold
Acclivity Vineyards,CA,Cab Sauv - $42.00 - $45.99,2018,Alexander Valley,Cabernet Sauvignon,,$45.00 ,Silver
Accomplice,CA,Cab Sauv - $13.00 - $15.99,2019,California,Cabernet Sauvignon,,$14.99 ,Gold
Accomplice,CA,Chardonnay - $14.00 - $15.99,2020,California,Chardonnay,,$14.99 ,Gold
Accomplice,CA,Dry Rose/Blush - RS .1 - .299,2020,California,Rose,,$14.99 ,Bronze
Acquiesce Winery & Vineyards: White Sweepstakes Winner,CA,Viognier - $27.00 and Over,2020,Mokelumne River,Viognier,Lodi Rules,$30.00 ,White Sweepstakes
Acquiesce Winery & Vineyards,CA,Grenache Blanc,2020,Mokelumne River,Grenache Blanc,Lodi Rules,$28.00 ,Best of Class
Acquiesce Winery & Vineyards,CA,Other White Varietals,2020,Mokelumne River,Picpoul Blanc,Lodi Rules,$28.00 ,Best of Class
Acquiesce Winery & Vineyards,CA,Roussanne,2020,Mokelumne River,Roussanne,Lodi Rules,$34.00 ,Best of Class
Acquiesce Winery & Vineyards,CA,Dry Rose/Blush Blend - RS 0,2020,Lodi,Grenache Rose,Lodi Rules,$26.00 ,Silver
Acquiesce Winery & Vineyards,CA,Other White Varietals,2020,Mokelumne River,Bourboulenc,Lodi Rules,$30.00 ,Silver
Acquiesce Winery & Vineyards,CA,Other White Varietals,2020,Mokelumne River,Clairette Blanche,Lodi Rules,$30.00 ,Silver
Acquiesce Winery & Vineyards,CA,White Blends - $28.00 and Over,2019,Mokelumne River,Belle Blanc,Lodi Rules,$34.00 ,Silver
Acquiesce Winery & Vineyards,CA,White Blends - $28.00 and Over,2020,Mokelumne River,Ingenue,Lodi Rules,$34.00 ,Silver
Acquiesce Winery & Vineyards,CA,Blanc de Blancs,NV,Mokelumne River,Sparkling Grenache Blanc,Lodi Rules,$55.00 ,Bronze
Acrobat Oregon Wines,CA,Pinot Gris/Grigio - $15.00 - $19.99,2019,Oregon,Pinot Gris,,$15.00 ,Double Gold
Acrobat Oregon Wines,CA,Pinot Noir - $15.00 - $19.99,2019,Oregon,Pinot Noir,,$19.00 ,Bronze
ad coelum,CA,Cab Sauv - $65.00 - $71.99,2018,Napa Valley,Cabernet Sauvignon,,$65.00 ,Double Gold
Ad Lucem,OR,Syrah/Shiraz - $40.00 - $43.99,2018,Columbia Valley,Syrah,Slide Mountain Vineyard Daystar,$42.00 ,Silver
Adega Vinho,TX,Chardonnay - $46.00 and Over,2020,Texas Hill Country,Chardonnay,,$60.00 ,Double Gold
Adega Vinho,TX,Red Blend: Petite Sirah leading blend,2019,Texas High Plains,Petit Quadrado,,$60.00 ,Silver
Adega Vinho,TX,Red Blend: Tempranillo leading blend,2019,Texas High Plains,Cuvee Carinho,,$45.00 ,Silver
Adega Vinho,TX,Tempranillo - $35 and Over,2019,Fredricksburg; Texas Hill Country,Tempranillo,,$40.00 ,Silver
Adega Vinho,TX,Mourvedre,2019,Texas Hill Country,Mourvedre,,$50.00 ,Bronze
Adelphos Cellars,TX,White Blends - $28.00 and Over,2020,Texas High Plains,Old Friends White Blend,,$28.00 ,Gold
Adelphos Cellars,TX,Syrah/Shiraz - $35.00 - $39.99,2019,Texas High Plains,Syrah,,$36.00 ,Silver
Adelphos Cellars,TX,Cab Sauv - $30.00 - $34.99,2018,Texas High Plains,Cabernet Sauvignon,,$34.00 ,Bronze
Adrice Wines,WA,Syrah/Shiraz - $27.00 - $30.99,2018,Columbia Valley,Syrah,Bare Knuckle,$30.00 ,Double Gold
Adrice Wines,WA,Cab Sauv - $65.00 - $71.99,2018,Red Mountain,Cabernet Sauvignon,JB Cabernet,$70.00 ,Silver
Adrice Wines,WA,Red Blend: Cab Sauv leading blend - $56.00 and Over,2018,Yakima Valley,Notorious,,$62.00 ,Silver
Aimee,CA,Merlot - $31.00 - $39.99,2019,Napa Valley,Merlot,,$36.00 ,Double Gold
Aimee,CA,Cab Sauv - $50.00 - $54.99,2018,Napa Valley,Cabernet Sauvignon,,$50.00 ,Silver
Aimee,CA,Merlot - $31.00 - $39.99,2018,Napa Valley,Merlot,,$36.00 ,Silver
Aimee,CA,Primitivo,2019,Napa Valley,Primtivo,,$33.00 ,Silver
AlAnne Vineyard,OR,Chardonnay - $29.00 - $32.99,2019,Rogue Valley,Chardonnay,,$30.00 ,Silver
Alapay,CA,White Dessert/Late Harvest - RS >3.5,2021,Central Coast,Late Harvest Moscato,,$38.00 ,Best of Class
Alapay,CA,Cab Franc - $30.00 - $39.99,2020,San Luis Obispo County,Cabernet Franc,,$39.00 ,Double Gold
Alapay,CA,Petite Sirah - $40.00 - $45.99,2020,Paso Robles,Petite Sirah,French Camp Vineyard,$44.00 ,Double Gold
Alapay,CA,All Other Red Varietals,2020,Paso Robles,Lagrein,French Camp Vineyard,$39.00 ,Gold
Alapay,CA,Barbera - $35.00 and Over,2020,San Luis Obispo County,Barbera,,$39.00 ,Gold
Alapay,CA,Tannat,2020,Paso Robles,Tannat,,$44.00 ,Gold
Alapay,CA,All Other Red Varietals,2020,Santa Barbara County,Cinsault,12:01,$36.00 ,Silver
Alapay,CA,Chardonnay - $36.00 - $39.99,2020,Central Coast,Chardonnay,,$39.00 ,Silver
Alapay,CA,Pinot Noir - $48.00 - $50.99,2020,Sta. Rita Hills,Pinot Noir,,$48.00 ,Silver
Alapay,CA,Red Blend: Cab Sauv leading blend - $56.00 and Over,2020,San Luis Obispo County,Rebekah,,$60.00 ,Silver
Alapay,CA,Zinfandel - $42.00 - $47.99,2017,San Luis Obispo County,Zinfandel,,$44.00 ,Silver
Alexander Valley Vineyards,CA,Pinot Noir - $32.00 - $35.99,2019,Alexander Valley,Pinot Noir,,$34.00 ,Best of Class
Alexander Valley Vineyards,CA,Red Blend: Cab Sauv leading blend - $56.00 and Over,2016,Alexander Valley,CYRUS,,$65.00 ,Double Gold
Alexander Valley Vineyards,CA,Petite Sirah - $40.00 - $45.99,2017,Alexander Valley,Petite Sirah,Alexander School Reserve,$45.00 ,Gold
Alexander Valley Vineyards,CA,Zinfandel - $23.00 - $25.99,2017,Dry Creek Valley,Zinfandel,Redemption,$24.00 ,Gold
Alexander Valley Vineyards,CA,Gewurztraminer - Up to - $19.99,2020,Mendocino County,Gewurztraminer,,$15.00 ,Silver
Alexander Valley Vineyards,CA,Syrah/Shiraz - Up to - $26.99,2018,Alexander Valley,Syrah,,$24.00 ,Silver
Alexander Valley Vineyards,CA,Zinfandel - $17.00 - $22.99,2018,Alexander Valley,Zinfandel,,$20.00 ,Silver
Alexander Valley Vineyards,CA,Cab Franc - $30.00 - $39.99,2019,Alexander Valley,Cabernet Franc,,$34.00 ,Bronze
Alexander Valley Vineyards,CA,Cab Sauv - $23.00 - $25.99,2019,Alexander Valley,Cabernet Sauvignon,,$25.00 ,Bronze
Alexander Valley Vineyards,CA,Cab Sauv - $30.00 - $34.99,2018,Alexander Valley,Cabernet Sauvignon,,$34.00 ,Bronze
Alexander Valley Vineyards,CA,Merlot - $23.00 - $26.99,2019,Alexander Valley,Merlot,,$23.00 ,Bronze
Allegro Cellars,CA,Muscat,2020,California,Moscato,,$9.99 ,Gold
Allen Wines,CA,Cab Sauv - $90.00 and Over,2019,Oakville,Cabernet Sauvignon,Oakville Ridge Vyd,$125.00 ,Silver
Alloy Wine Works,CA,Sangria,NV,Central Coast,Red Sangria,Pacific Bloom,$6.00 ,Silver
Alloy Wine Works,CA,Sangria,NV,California,White Sangria,,$6.00 ,Bronze
Allure Infusions,CA,Berry Wine,NV,California,Strawberry Moscato,,$12.99 ,Gold
Allure Infusions,CA,Fruit Wine,NV,California,Apple and Pear Moscato,,$12.99 ,Silver
Allure Infusions,CA,Fruit Wine,NV,Adelaida District,Peach Moscato,,$12.99 ,Bronze
Alma de la Vina,CA,Barbera - Up to - $34.99,2019,Amador County,Barbera,,$28.00 ,Bronze
Almost Famous Wine Company,CA,Chardonnay - $26.00 - $28.99,2020,San Francisco Bay,Chardonnay,Pistachio Lane,$28.00 ,Best of Class
Almost Famous Wine Company,CA,Gruner Veltliner,2020,San Francisco Bay,Gruner Veltliner,Pistachio Lane,$35.00 ,Double Gold
Almost Famous Wine Company,CA,Red Blend: Cab Sauv leading blend - $56.00 and Over,2018,Livermore Valley,Choreography,,$60.00 ,Double Gold
Almost Famous Wine Company,CA,Cab Sauv - $30.00 - $34.99,2019,San Francisco Bay,Cabernet Sauvignon,Firepit,$32.00 ,Gold
Almost Famous Wine Company,CA,Sauvignon Blanc/Fume - $26.00 and Over,2020,San Francisco Bay,Sauvignon Blanc,Pistachio Lane,$35.00 ,Gold
Almost Famous Wine Company,CA,Packaging: Whimsical,2020,Livermore Valley,Dog Day Chardonnay,,$35.00 ,Silver
Almost Famous Wine Company,CA,Petite Sirah - $28.00 - $34.99,2018,San Francisco Bay,Petite Sirah,Firepit,$32.00 ,Silver
Almost Famous Wine Company,CA,Pinot Noir - $32.00 - $35.99,2020,San Francisco Bay,Pinot Noir,Firepit,$32.00 ,Silver
Almost Famous Wine Company,CA,Primitivo,2019,San Francisco Bay,Primitivo,Wine Without Borders,$32.00 ,Silver
Almost Famous Wine Company,CA,Packaging: Minimal,2019,Adelaida District,Wine Without Borders,,$32.00 ,Bronze
Aloria Vineyards,CA,Petite Sirah - $35.00 - $39.99,2018,Calaveras County,Petite Sirah,,$36.00 ,Silver
Aloria Vineyards,CA,Sauvignon Blanc/Fume - $20.00 - $ 25.99,2020,Calaveras County,Sauvignon Blanc,,$24.00 ,Silver
Aloria Vineyards,CA,Syrah/Shiraz - $35.00 - $39.99,2018,Calaveras County,Syrah,,$36.00 ,Silver
